Year,Black Carbon (ppb)
2012,2.19
2011,2
2010,3.24
2009,2.08
2008,3.8
2007,6
2006,2.2
2005,3.91
2004,3.39
2003,4.36
2002,3.69
2001,1.93
2000,3.11
1999,3.37
1998,5.19
1997,4.31
1996,6.8
1995,2.62
1994,4.6
1993,2.43
1992,1.73
1991,4.15
1990,2.41
1989,3.1
1988,2.6
1987,2.76
1986,3.63
1985,3.46
1984,2.26
1983,3.91
1982,3.72
1981,4.65
1980,3.21
1979,2.78
1978,3.04
1977,3.5
1976,2.27
1975,3.84
1974,3.23
1973,4.15
1972,3.79
1971,2.7
1970,2.81
1969,5.27
1968,3.71
1967,5.1
1966,2.34
1965,1.81
1964,1.55
1963,3.85
1962,2.46
1961,1.71
1960,1.54
1959,3.94
1958,2.11
1957,2.36
1956,3.69
1955,2.87
1954,2.25
1953,3.26
1952,1.93
1951,2.83
1950,5.48
1949,3.92
1948,2.13
1947,3.49
1946,3.3
1945,1.96
1944,1.94
1943,3.5
1942,3.15
1941,4.64
1940,2.26
1939,2.53
1938,1.29
1937,2.55
1936,2.8
1935,4.63
1934,3.13
1933,3.89
1932,4.69
1931,1.64
1930,1.69
1929,2.61
1928,2.16
1927,1.93
1926,2.01
1925,1.95
1924,4.39
1923,3.81
1922,2.2
1921,2.59
1920,2.06
1919,3.19
1918,3.62
1917,2.61
1916,2.07
1915,2.29
1914,2.73
1913,2.25
1912,2
1911,2.65
1910,2.52
1909,3.7
1908,2.92
1907,1.58
1906,1.11
1905,0.89
1904,2.97
1903,2.06
1902,4.12
1901,2.81
1900,2.81
1899,3.47
1898,2.18
1897,5.09
1896,3.78
1895,2.62
1894,1.93
1893,1.83
1892,2.07
1891,1.39
1890,2.09
1889,3.71
1888,5.92
1887,3.04
1886,2.03
1885,3.07
1884,0.89
1883,2.89
1882,2.33
1881,1.9
1880,1.32
1879,2.32
1878,2.04
1877,1.3
1876,0.52
1875,1.58
1874,1.3
1873,4.99
1872,2.3
1871,1.38
1870,2.39
1869,4.1
1868,1.98
1867,3.2
1866,2.06
1865,1.84
1864,4.08
1863,3.18
1862,2.32
1861,2.31
1860,2.22
1859,2.95
1858,2.76
1857,2.01
1856,1.08
1855,1.58
1854,2.17
1853,1.4
1852,2.29
1851,1.58
1850,1.11
1849,1.51
1848,2.25
1847,3.45
1846,2.42
1845,2.93
1844,5.04
1843,1.76
1842,2.63
1841,4.09
1840,2.51
1839,0.48
1838,0.56
1837,0.64
1836,0.71
1835,0.79
1834,1.83
1833,1.57
1832,2.71
1831,2.43
1830,1.49
1829,1.2
1828,1.94
1827,2.31
1826,2.31
1825,1.27
1824,1.67
1823,2.43
1822,2.61
1821,2.38
1820,5.69
1819,1.02
1818,2.57
1817,1.73
1816,1.74
1815,1.76
1814,4.33
1813,1.25
1812,1.13
1811,1.49
1810,1.6
1809,1.33
1808,2.16
1807,2.19
1806,1.45
1805,1.91
1804,2.15
1803,1.02
1802,0.92
1801,1.88
1800,1.35
1799,2.04
1798,2.38
1797,2.92
1796,2.83
1795,3.93
1794,2.56
1793,2.36
1792,2.56
1791,2.32
1790,2.6
1789,3.4
1788,1.46
1787,3.08
1786,3.26
1785,2.76
1784,3.23
1783,2.24
1782,2.18
1781,5.26
1780,3.01
1779,3.07
1778,1.35
1777,2.12
1776,3.74
1775,2.56
1774,1.13
1773,2.61
1772,2.72
1771,0.9
1770,2.43
1769,2.09
1768,2.08
1767,1.66
1766,1.42
1765,0.8
1764,3.15
1763,2
1762,2.68
1761,2.41
1760,3.58
1759,2.83
1758,2.29
1757,4.93
1756,1.8
1755,1.87
1754,2.01
1753,2.84
1752,1.51
1751,0.93
1750,1.28
1749,3.18
1748,1.01
1747,1.63
1746,0.45
1745,1.45
1744,0.7
1743,1.58
1742,2.42
1741,2.44
1740,2.05
1739,1.41
1738,1.19
1737,1.6
1736,0.7
1735,1.09
1734,1.78
1733,4.06
1732,2.05
1731,2.92
1730,0.74
1729,3.42
1728,2.11
1727,1.38
1726,2.78
1725,1.58
1724,1.21
1723,1.9
1722,1.46
1721,2.68
1720,3.44
1719,4.84
1718,3.05
1717,1.89
1716,1.22
1715,1.78
1714,1.72
1713,2.47
1712,1.04
1711,2.95
1710,1.31
1709,2.26
1708,3.23
1707,3.64
1706,2.43
1705,1.99
1704,1.18
1703,2.03
1702,1.65
1701,3.1
1700,2.21
